market,rank,creative_name,ad_name,adset_name,QL,TQL,TD,CPTQL,CPTD,CTR,CPC,spend,content_format,creative_type,talent_type,production_style,campaign_audience,pain_benefit,language,thumbnail_url
US,1,Video_Testimonial-Kiran-22s-Telugu,USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Kiran-22s-Telugu_101125,USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_251225,11.0,7.0,4.0,12840.0,22471.0,0.55,241.0,89882.0,Testimonial,Video,Parent,UGC,NRI (BAU),Grades & School,Telugu,
US,2,Video_Testimonial-3Kiran-Rohini-30s-Telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-3Kiran-Rohini-30s-Telugu_210825,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_35-55_LeadGen_141025,11.0,7.0,3.0,11653.0,27190.0,0.64,207.0,81569.0,Testimonial,Video,Parent,UGC,Vernacular (BAU),Grades & School,Telugu,
US,3,Static-India-Best-Math-Tutors-,USA_FB_Leads_Conv_LAL_PayU_New_Audience_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-180226,USA_FB_Leads_Conv_LAL_PayU_New_Audience_35-55_NRI_Contextual_Statics_LeadGen_180226,10.0,5.0,3.0,15596.0,25993.0,0.57,328.0,77980.0,Graphic Explainer,Static,None,Static Graphic,Lookalike (BAU),Tutor Quality,English,
US,4,High-School-SAT-Prep-Manan-Sir-Video-,USA_FB_Leads_Conv_LAL_Enrolled_35-55_High_School_LeadGen_NA_High-School-SAT-Prep-Manan-Sir-Video-130126,USA_FB_Leads_Conv_LAL_Enrolled_35-55_High_School_LeadGen_130126,30.0,13.0,9.0,16600.0,23978.0,0.6,255.0,215803.0,Talking Head,Video,Tutor,Studio,Lookalike (BAU),Competition Prep,English,https://scontent-bom2-4.xx.fbcdn.net/v/t15.5256-10/596751026_1605269040620393_8737284053244476911_n.jpg?_nc_cat=106&ccb=1-7&_nc_ohc=KkcD0ivbP6kQ7kNvwFZwg9b&_nc_oc=Ado5eBUczPMSUkFlJyJjA0sylIeOCw9ujgS9d1m4SHYSaf7_fl85cEnvJ5M60fWGW5M&_nc_zt=23&_nc_ht=scontent-bom2-4.xx&edm=AOgd6ZUEAAAA&_nc_gid=UD-QK8P8cIr9x_o-HF8qnA&_nc_tpa=Q5bMBQFmi0rXWmAPDyEupHbONJ417mWaf-t4zf4uyMQDCaYaX6KG-RCNyK6l8Z0QpWqpHavKLDRwUqQG&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=b696e2&_nc_sid=58080a&oh=00_Af3o6s4oD0oq-oih3p6Fg74NV3v5_HkBptRN-mHlaI0xGA&oe=69DD1F08
US,5,Static-High-School-Algebra-to-AP-Calculus-,USA_FB_Leads_Conv_PayU_New_Audience_35-55_Statics_High_School_New_Concepts_LeadGen_NA_Static-High-School-Algebra-to-AP-Calculus-170426,USA_FB_Leads_Conv_PayU_New_Audience_35-55_Statics_High_School_New_Concepts_LeadGen_170426,21.0,7.0,2.0,14871.0,52050.0,0.87,224.0,104100.0,,,,,,,,
US,6,Static-Top-Indian-Tutors-,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-Top-Indian-Tutors-200126,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_200126,34.0,11.0,9.0,25151.0,30740.0,0.66,384.0,276657.0,Graphic Explainer,Static,Child,Static Graphic,Lookalike (BAU),Tutor Quality | Parent Peace of Mind,English,https://scontent-bom2-1.xx.fbcdn.net/v/t45.1600-4/620216238_4319938968246236_7527300137863167646_n.png?_nc_cat=107&ccb=1-7&_nc_ohc=1pIxfjTVbCIQ7kNvwEpox_1&_nc_oc=Ado3Qe1mW0sky5OjpTGNJ1evnIjRf3qUUVQm87KMSyVepUnsKywb4GPmFXXELhy3-YE&_nc_zt=1&_nc_ht=scontent-bom2-1.xx&edm=AOgd6ZUEAAAA&_nc_gid=UD-QK8P8cIr9x_o-HF8qnA&_nc_tpa=Q5bMBQHAqmB04p-MCQxLumYVTo_5u8RPY65mQ02qbeCrjs5KPja0mLN5jU8Gg15Rc9WtO1mSnWwpsgpB&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af3B1aHNMkCczpobJoBTlP-02cv_8ski69hqJfQtVrzZiQ&oe=69DD1928
US,7,LAL_0-2%_Engaged_Priyanshul_IG_video,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_priyanshul_LeadGen_131025,69.0,25.0,14.0,22273.0,39774.0,1.96,105.0,556831.0,Testimonial,Video,Influencer,UGC,Influencer (BAU),Grades & School,English,https://scontent-bom5-2.xx.fbcdn.net/v/t15.5256-10/623232323_1260895672535753_1971418300783412117_n.jpg?_nc_cat=104&ccb=1-7&_nc_ohc=PGOZpLjaH2AQ7kNvwFYgCFb&_nc_oc=AdrQuBcyDzhNXAWHNh2HnKWbpi3f0BI8VfqvCgqzuJtqCgKCpn8gvKzOa0TvAleXytA&_nc_zt=23&_nc_ht=scontent-bom5-2.xx&edm=AOgd6ZUEAAAA&_nc_gid=ds9JS8wuUAMftyGdPAJlCQ&_nc_tpa=Q5bMBQHJM3KtRutW8nRuFkViGvsI39xCbwFQmglufIGfA0fMNMI_7xU1eY2blizAWL_RoZPyszTOnDO6&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=a7ce7f&_nc_sid=58080a&oh=00_Af1V0ODfmIGruoVFOCF3sn5mB3VEKRmgkZ53JesihEo0Eg&oe=69DD3997
US,8,Video_Testimonial-Kaasi-22s-Telugu,USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Kaasi-22s-Telugu_100825,USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_251225,17.0,8.0,6.0,25283.0,33711.0,0.53,323.0,202265.0,Testimonial,Video,Parent,UGC,NRI (BAU),Grades & School,Telugu,
US,9,Video_Testimonial-Lakshami-32s-Telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Lakshami-32s-Telugu_050925,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_35-55_LeadGen_141025,62.0,22.0,14.0,23970.0,37668.0,0.85,247.0,527349.0,Testimonial,Video,Parent,UGC,Vernacular (BAU),Confidence | Grades & School | Parent Peace of Mind,Telugu,https://scontent-bom5-2.xx.fbcdn.net/v/t15.13418-10/543554043_1963832357769923_6297716508430990173_n.jpg?_nc_cat=108&ccb=1-7&_nc_ohc=iWHj78CPCAgQ7kNvwEBld65&_nc_oc=AdpM2RmAe2UOE7DIJjpf5jHu31mclHjdr-L-TqoksmUK_eUtHR3D6SAz5RcEPCQe3PE&_nc_zt=23&_nc_ht=scontent-bom5-2.xx&edm=AOgd6ZUEAAAA&_nc_gid=QOjF6HbMMbJv8G5HO1acPQ&_nc_tpa=Q5bMBQFBASAR4WasB4jgMi8Zv3pPA4jKFjS6UMoPlIrVZfKLfrn3H-f_2xZAwsCUcSGeUhMdh1Eg_8SJ&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=c3b633&_nc_sid=58080a&oh=00_Af2QYIpBHUjSS1dt_xlSxO-GCTHwtpO-dyfdAI6IvWNuaw&oe=69DD21D4
US,10,Static-2026-Stands-for-Math-Confidence-,USA_FB_Leads_Conv_LAL_Enrolled_35-55_New-Year_LeadGen_NA_Static-2026-Stands-for-Math-Confidence-221225,USA_FB_Leads_Conv_LAL_Enrolled_35-55_New-Year_LeadGen_050126,36.0,12.0,6.0,22786.0,45573.0,0.69,307.0,273435.0,Graphic Explainer,Static,None,Static Graphic,Lookalike (BAU),Confidence,English,https://scontent-bom2-4.xx.fbcdn.net/v/t45.1600-4/602328352_4291719501068183_276999638540399657_n.png?_nc_cat=106&ccb=1-7&_nc_ohc=Hd9HprygCegQ7kNvwEWjdNb&_nc_oc=Adob4q9Rzele0l1Lz6F6wIxW16DmykOcji2d5_7JiutmXqc7ocnP5o-gGFwgctys8nI&_nc_zt=1&_nc_ht=scontent-bom2-4.xx&edm=AOgd6ZUEAAAA&_nc_gid=UD-QK8P8cIr9x_o-HF8qnA&_nc_tpa=Q5bMBQE3KIsPio-iHLdvoJ4RIihSN0iAE9mral9wsn7oUUm4EJYx3gd4Oy92nuNk8zfimNiGVHZbv_WH&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af1EuNyxcBm7BGUGjg14v0-qqTHDfuMD1dtwMmiVCtaabw&oe=69DD1B15
US,11,Video_English_Testimonial_Jyoti_Sharma_Grade2,USA_FB_Leads_Conv_PayU_New_Audience_35-55_LeadGen_NA_Video_English_Testimonial_Jyoti_Sharma_Grade2_060426,USA_FB_Leads_Conv_PayU_New_Audience_35-55_LeadGen_060426,19.0,8.0,5.0,25023.0,40037.0,1.06,174.0,200183.0,Testimonial,Video,Parent,UGC,Lookalike (BAU),Grades & School,English,
US,12,Video_Testimonial-Kiran-22s-Telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Kiran-22s-Telugu_101125,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_35-55_LeadGen_141025,61.0,20.0,10.0,25777.0,51555.0,0.86,213.0,515547.0,Testimonial,Video,Parent,UGC,Vernacular (BAU),Grades & School,Telugu,https://external-bom5-2.xx.fbcdn.net/emg1/v/t13/18326104501581375282?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQK0EwsjmhTnov40FMGVBRAMwlXuq2co9OWmagq4GJ-Oz4ZnKGU21YkvpZ9GYMkAs7Z55HINup6Z8q1fV9wGmZesM8TaJFzGbgRSR8D-WzlhMvxyu0vfrmJCaDb9U77FY5HjFAJXORZtjH9vujVz5Tmx&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=QOjF6HbMMbJv8G5HO1acPQ&_nc_oc=AdrmsYYSc3DDJnYxnnlvFIbCkOWlYOfRH4a7daASJcpwV6VsTPaxto6M7UyyM1mY6_c&ccb=13-1&oh=06_Q3--AZrWM4htV2nLRI2xCEiNc0slQ96oHHY3wHbSwMqh9qKX&oe=69D9245F&_nc_sid=58080a
US,13,Static-Top-Indian-tutors-NRI-Ad2-,USA_FB_Leads_Conv_LAL_Enrolled_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Top-Indian-tutors-NRI-Ad2-230126,USA_FB_Leads_Conv_LAL_Enrolled_35-55_NRI_Contextual_Statics_LeadGen_230126,16.0,5.0,2.0,24304.0,60759.0,0.65,341.0,121518.0,Graphic Explainer,Static,None,Static Graphic,Lookalike (BAU),Tutor Quality,English,
US,14,Static-starting-at-$20-per-class-,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Pricing_Creatives_LeadGen_NA_Static-starting-at-$20-per-class-220126,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Pricing_Creatives_LeadGen_190126,21.0,8.0,3.0,25832.0,68884.0,0.55,365.0,206652.0,Static Graphic,Static,Child,Static Graphic,Lookalike (BAU),Parent Peace of Mind,English,https://scontent-bom5-1.xx.fbcdn.net/v/t45.1600-4/619491556_4320843721489094_7352582004625856203_n.png?_nc_cat=105&ccb=1-7&_nc_ohc=Docz6LX050QQ7kNvwFX6JO5&_nc_oc=AdrkTgIi_RNt4PS_HeHG7dQbzsQdbF3dNsQ8u4AIh1ijPbzuXmsHR2GsdYgAvZFrnlQ&_nc_zt=1&_nc_ht=scontent-bom5-1.xx&edm=AOgd6ZUEAAAA&_nc_gid=UD-QK8P8cIr9x_o-HF8qnA&_nc_tpa=Q5bMBQFiSoqbdxbRxTh8UAzOsPA4YyaGvLqAEnlkc9o_3WoVeC7jqBfqBBnb5UXf97gg05WD6tzYa1TB&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af0B4p1CB3VAy0N7GZ9plysfM_8mO00ArMs_q8p9lG3mMQ&oe=69DD44A2
US,15,Video_Testimonial-Deepthi-31s-Telugu,USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_251225,17.0,6.0,2.0,26086.0,78259.0,1.14,269.0,156518.0,Testimonial,Video,Influencer,UGC,NRI (BAU),Grades & School,Telugu,
US,16,Static-make-child-mathfit-,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-make-child-mathfit-200126,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_200126,24.0,6.0,3.0,32623.0,65246.0,0.71,365.0,195737.0,Graphic Explainer,Static,Child,Static Graphic,Lookalike (BAU),Foundation Building,English,https://scontent-bom5-1.xx.fbcdn.net/v/t45.1600-4/613722784_4311584755748324_4500421555014929140_n.png?_nc_cat=105&ccb=1-7&_nc_ohc=DqUyPOGtSI0Q7kNvwHobnNc&_nc_oc=AdppF0LvRe0TJVnclSkZLywDpwypqIRA3yyE2sHmN_KDsSIJriszFhCniy7bYqR_4Fg&_nc_zt=1&_nc_ht=scontent-bom5-1.xx&edm=AOgd6ZUEAAAA&_nc_gid=UD-QK8P8cIr9x_o-HF8qnA&_nc_tpa=Q5bMBQH7LSSbzuZys0TaYakpaeKFpG8ZqZPKLvaKUsPQLIM_eewOm7zxk4bkEKcwDls__hdETjn070PM&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af2UMr3o4ilJ0lPCxFplWWauoRe8QAHq9Fzqi3GUofPNPw&oe=69DD3611
US,17,LAL_0-2%_Engaged_Priyanshul,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_131025,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_priyanshul_LeadGen_131025,69.0,9.0,5.0,34288.0,61719.0,2.7,106.0,308595.0,Testimonial,Video,Influencer,UGC,Influencer (BAU),Grades & School,English,https://scontent-bom5-1.xx.fbcdn.net/v/t15.5256-10/617709806_1561799521605459_4944458421432841256_n.jpg?_nc_cat=109&ccb=1-7&_nc_ohc=zg2VhjYI3N4Q7kNvwFWB8tb&_nc_oc=AdoYxdnSJkDN7TPjmxZovPfXUG0O9ggAAmUjTme0P0CA2iCgUoHtz8gx_sosnep_ivM&_nc_zt=23&_nc_ht=scontent-bom5-1.xx&edm=AOgd6ZUEAAAA&_nc_gid=ds9JS8wuUAMftyGdPAJlCQ&_nc_tpa=Q5bMBQFeQqnaDMvKAw0XQz1MAwDQmlAYLuJi8Z_Lk7gbmXgmEwZzAfMccs-oO9TAcpj5Bsq67rt98fOt&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=a7ce7f&_nc_sid=58080a&oh=00_Af2ygfsqbpZedKT1hE0x419MsJEzgPmPfGiQcXbIILRzGw&oe=69DD327A
US,18,Static_Balamaina_Math_Foundation,USA_AKT_FB_Leads_Conv_Advantage_Audience-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_NA_Static_Balamaina_Math_Foundation_150126,USA_AKT_FB_Leads_Conv_Advantage_Audience-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_090126,27.0,9.0,3.0,28580.0,85741.0,0.58,191.0,257223.0,Graphic Explainer,Static,None,Static Graphic,Vernacular (BAU),Foundation Building,Telugu,
US,19,Video_Testimonial-Ananth-29s-Telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Ananth-29s-Telugu_250925,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_35-55_LeadGen_141025,49.0,12.0,4.0,31084.0,93253.0,1.24,280.0,373011.0,Testimonial,Video,Parent,UGC,Vernacular (BAU),Grades & School,Telugu,https://scontent-bom2-1.xx.fbcdn.net/v/t15.13418-10/558177231_766547672824752_3949974139071582157_n.jpg?_nc_cat=107&ccb=1-7&_nc_ohc=JMQLgwVGt9oQ7kNvwHWIekw&_nc_oc=AdpgEI2KAJ0YgrrcZa8nHb3RyW_AjSj-v-plMlUz8JnzaiDjFPVaMS416-18_fac2IQ&_nc_zt=23&_nc_ht=scontent-bom2-1.xx&edm=AOgd6ZUEAAAA&_nc_gid=QOjF6HbMMbJv8G5HO1acPQ&_nc_tpa=Q5bMBQH9JViatdqmNQC2YWKScRO2sW-iLAhVFoRHHWoEAmCdWziYzfpG02QnWRrxPm1XLsO1cRjClLLH&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=c3b633&_nc_sid=58080a&oh=00_Af1qCFYU16dvAdeTTU-OC2DqZqXqbDGEFFmQvZbFyZ-omg&oe=69DD2A8B
US,20,Video_English_Testimonial_Rishva_Patel,USA_FB_Leads_Conv_Razorpay_LAL_NRI_Audience_35-55_English_Testimonials_LeadGen_NA_Video_English_Testimonial_Rishva_Patel_200426,USA_FB_Leads_Conv_Razorpay_LAL_NRI_Audience_35-55_English_Testimonials_LeadGen_200426,19.0,7.0,2.0,28694.0,100430.0,0.61,283.0,200860.0,,,,,,,,
