ad_name,ad_id,talent,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_3_NA_Video_Influencers_Abhilasha_160426,120241515727730278,Abhilasha,12380,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_3_NA_Video_Influencers_Ana_160426,120241515727800278,Ana,4110,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_3_NA_Video_Influencers_Jayashree_160426,120241515727690278,Jayashree,162013,8,8,7,0,,Testimonial,Video,Influencer,Jayashree,UGC,NRI (PLA),Personalization,Student Outcomes,English
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_3_NA_Video_Influencers_Nidhi_160426,120241515727680278,Nidhi,2047,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_3_NA_Video_Influencers_Shubhi_160426,120241515727710278,Subhi,1373,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Edit_Shweta_Negi_150426,120241466414250278,Shweta Negi,19997,2,1,1,0,,Testimonial,Video,Influencer,Shweta Negi,UGC,NRI (PLA),Personalization | Tutor Quality | Parent Peace of Mind,Social Proof | Expert Tutors,English
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Twitter_Edit_Heena_150426,120241466414270278,Heena,689,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_150426,120241466413990278,Deepthi,12206,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_PLA_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Keerthi_US_150426,120241466414300278,Keerthi,109048,5,5,5,1,109048.0,Testimonial,Video,Parent,Keerthi,UGC,NRI (PLA),Personalization,Personalized Learning,Telugu
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_Influencer_Videos_NA_Video_Keerthi_250326,120243783784230529,Keerthi,28561,1,0,1,0,,Testimonial,Video,Influencer,Keerthi,UGC,NRI,Grades & School,Student Outcomes,English
