ad_name,ad_id,talent,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Video_Influencer_Perf_Edit_Shweta_Negi_180326,120239883994660278,Shweta Negi,28215,1,0,0,0,,Testimonial,Video,Influencer,Shweta Negi,UGC,General,Confidence,Student Outcomes,English
USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Video_Influencer_Perf_Twitter_Edit_Heena_180326,120239882516720278,Heena,9128,0,0,0,0,,Testimonial,Video,Influencer,Heena,UGC,General,Confidence,Social Proof,English
USA_FB_Leads_Conv_Expats_Female_35_55_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Twitter_Edit_Heena_130426,120241373282360278,Heena,3525,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Expats_Female_35_55_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_130426,120241373282370278,Deepthi,51727,3,2,3,2,25864.0,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,NRI (BAU),Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_Expats_Female_35_55_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Jia_US_130426,120241373282390278,Jia,7438,0,0,0,0,,Testimonial,Video,Influencer,Jia,UGC,NRI (BAU),Parent Peace of Mind,Parent Peace of Mind,English
USA_FB_Leads_Conv_Expats_NRI_Audience_35-55_LeadGen_NA_Video_Influencer_Perf_Edit_Shweta_Negi_060426,120240962190550278,Shweta Negi,3608,1,0,1,0,,,,,,,,,,
USA_FB_Leads_Conv_Expats_NRI_Audience_35-55_LeadGen_NA_Video_Influencer_Perf_Twitter_Edit_Heena_060426,120240962264310278,Heena,512,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Expats_NRI_Audience_35-55_LeadGen_NA_Video_Perf_Influencer_Deepthi_US_060426,120240962247770278,Deepthi,1635,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Edit_Shweta_Negi_250326,120240203002900278,Shweta Negi,29769,3,1,2,2,14885.0,Testimonial,Video,Influencer,Shweta Negi,UGC,NRI,Personalization,Student Outcomes,English
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Twitter_Edit_Heena_250326,120240203002890278,Heena,24610,2,1,2,1,24611.0,Testimonial,Video,Influencer,Heena,UGC,NRI,Personalization,Social Proof,English
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_250326,120240201137300278,Deepthi,7394,0,0,0,0,,Testimonial,Video,Influencer,Deepthi,UGC,NRI,Personalization | Grades & School | Parent Peace of Mind,Personalized Learning | Student Outcomes,English
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Jia_US_250326,120240201137310278,Jia,5078,0,0,0,0,,Testimonial,Video,Influencer,Jia,UGC,NRI (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Anudeep_US_250326,120240201137380278,Anudeep,32825,2,0,2,0,,Testimonial,Video,Influencer,Anudeep,UGC,NRI,Personalization,Student Outcomes,Telugu
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Keerthi_US_250326,120240201137390278,Keerthi,15857,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Expats_NRI_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Anudeep_US_150426,120241481162280278,Anudeep,26234,1,1,0,0,,Testimonial,Video,Influencer,Anudeep,UGC,Vernacular (BAU),Grades & School,Social Proof,Telugu
USA_FB_Leads_Conv_Expats_NRI_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Keerthi_US_150426,120241481279700278,Keerthi,9564,1,1,0,0,,Testimonial,Video,Parent,Keerthi,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Telugu
USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Heena_030226,120241670914200529,Heena,19395,1,1,1,1,19395.0,Testimonial,Video,Parent,Heena,UGC,NRI,Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,120241670914240529,Keerthi,111467,7,7,5,4,27867.0,Testimonial,Video,Influencer,Keerthi,UGC,NRI,Personalization,Social Proof,English
USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,120241670914190529,Priyanshul,152903,7,7,7,3,50968.0,Testimonial,Video,Influencer,Priyanshul,UGC,NRI,Personalization,Social Proof,English
USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_030326,120239188820820278,Shalini,171169,15,11,15,4,42792.0,Testimonial,Video,Influencer,Shalini,Studio,Influencer,Personalization,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_030326,120239189240020278,Shalini,11040,15,11,15,4,2760.0,Testimonial,Video,Influencer,Shalini,Studio,Influencer,Personalization,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_310326,120240616861110278,Shalini,32329,2,0,2,0,,Testimonial,Video,Influencer,Shalini,Studio,Influencer,Personalization,Social Proof,English
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Ana_250426,120242048174160278,Ana,13387,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Anudeep_250426,120242048174140278,Anudeep,20497,2,2,2,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Jayashree_250426,120242048174280278,Jayashree,5548,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Priyanka_D_280426,120242225977960278,Priyanka D,7818,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_Expats_Part2_Signup_LP_Postboost_Video_Priyanka_D_250426,120242048174260278,Priyanka D,2767,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_Expats_Part3_Signup_LP_Postboost_Video_Seema_250426,120242048174250278,Seema,12047,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Jayashree_190326,120239943918040278,Jayashree,8039,0,0,0,0,,Testimonial,Video,Influencer,Jayashree,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Jugnu_190326,120239943917910278,Jugnu,7551,0,0,0,0,,Testimonial,Video,Influencer,Jugnu,UGC,Influencer,Personalization,Social Proof,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Priyanshul_190326,120239943918010278,Priyanshul,36679,1,1,1,1,36680.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence | Grades & School | Foundation Building,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Priyanshul_IG_220326,120240060493730278,Priyanshul,3114,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Sahar_190326,120240060662320278,Sahar,2110,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Abhilasha_170326,120239881551660278,Abhilasha,11865,0,0,0,0,,Testimonial,Video,Influencer,Abhilasha,UGC,Influencer,Confidence,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Jayashree_170326,120239827694020278,Jayashree,11060,0,0,0,0,,Testimonial,Video,Influencer,Jayashree,UGC,Influencer,Confidence,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Jugnu_170326,120239827693970278,Jugnu,7956,2,0,2,0,,Testimonial,Video,Influencer,,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Priyanshul_170326,120239827693980278,Priyanshul,77794,3,3,2,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Sahar_170326,120239827693950278,Sahar,14866,1,0,1,0,,Testimonial,Video,Influencer,Sahar,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Seema_170326,120239881551650278,Seema,25396,2,1,2,1,25397.0,Testimonial,Video,Influencer,Seema,UGC,Influencer,Personalization,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Suzy_170326,120239827693990278,Suzy,11202,0,0,0,0,,Testimonial,Video,Influencer,Suzy,Studio,Influencer,Confidence,Social Proof,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Abhilasha_170326,120239881431010278,Abhilasha,9705,0,0,0,0,,Testimonial,Video,Influencer,Abhilasha,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Jayashree_170326,120239819715450278,Jayashree,13269,0,0,0,0,,Testimonial,Video,Influencer,Jayashree,UGC,Influencer (BAU),Confidence | Grades & School | Personalization,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Jugnu_170326,120239818166160278,Jugnu,8044,0,0,0,0,,Testimonial,Video,Influencer,Jugnu,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_170326,120239819528750278,Priyanshul,331799,24,17,23,8,41475.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_200426,120241739928140278,Priyanshul,32053,1,1,1,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Sahar_170326,120239819835600278,Sahar,39527,3,2,3,0,,Testimonial,Video,Influencer,Sahar,UGC,Influencer (BAU),Personalization,Social Proof,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Seema_170326,120239880989580278,Seema,15112,2,0,2,0,,Testimonial,Video,Influencer,Seema,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Suzy_170326,120239819652880278,Suzy,8158,0,0,0,0,,Testimonial,Video,Influencer,Suzy,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part1_Signup_LP_Postboost_Video_Deepthi_Bandaru_240426,120241957577110278,Deepthi,21511,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part1_Signup_LP_Postboost_Video_Nidhi_240426,120241959495260278,Nidhi,68667,5,5,5,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part2_Signup_LP_Postboost_Video_Alev_240426,120241959604180278,Alev,260,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part2_Signup_LP_Postboost_Video_Suzy_240426,120241959604190278,Suzy,13779,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Ana_240426,120241959879480278,Ana,71,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Anudeep_240426,120241959879600278,Anudeep,9800,1,1,1,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Jayashree_240426,120241959879460278,Jayashree,6944,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part2_Signup_LP_Postboost_Video_Priyanka_D_240426,120241959879640278,Priyanka D,5988,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part3_Signup_LP_Postboost_Video_Seema_240426,120241962037900278,Seema,1113,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part4_Signup_LP_Postboost_Video_ARIGELA_KEERTHI_PRIYA_290426,120242260009910278,Keerthi,2590,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part1_NA_Video_Sahar_060426,120240962550140278,Sahar,1957,1,0,1,0,,Testimonial,Video,Influencer,Sahar,UGC,Influencer (BAU),Parent Peace of Mind,Parent Peace of Mind,English
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part1_NA_Video_Seema_060426,120240962646150278,Seema,31947,16,0,0,0,,Testimonial,Video,Influencer,Seema,UGC,Influencer (BAU),Parent Peace of Mind,Parent Peace of Mind,English
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Abhilasha_060426,120240962784210278,Abhilasha,33397,8,1,0,0,,Testimonial,Video,Parent,Abhilasha,UGC,Influencer (BAU),Parent Peace of Mind,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Jayashree_060426,120240962751690278,Jayashree,20175,2,0,0,0,,Testimonial,Video,Influencer,Jayashree,UGC,Influencer (BAU),Parent Peace of Mind,Student Outcomes,English
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Jugnu_060426,120240962908380278,Jugnu,28773,7,0,0,0,,Testimonial,Video,Influencer,Jugnu,UGC,Influencer (BAU),Parent Peace of Mind,Parent Peace of Mind,English
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Suzy_060426,120240962850840278,Suzy,800,1,0,0,0,,Testimonial,Video,Influencer,Suzy,UGC,Influencer (BAU),Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Signup_Video_Deepthi_230226,120238795616260278,Deepthi,8929,0,0,0,0,,Testimonial,Video,Influencer,Deepthi,UGC,NRI,Confidence | Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Signup_Video_Shweta_Negi_230226,120238795616340278,Shweta Negi,14662,0,0,0,0,,Testimonial,Video,Influencer,Shweta Negi,UGC,Influencer (BAU),Grades & School,Social Proof,English
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Video_Anudeep_230226,120238795616320278,Anudeep,11734,0,0,0,0,,Testimonial,Video,Influencer,Anudeep,UGC,Influencer (BAU),Personalization | Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Video_Keerthi_230226,120238795616270278,Keerthi,7979,0,0,0,0,,Testimonial,Video,Child,Keerthi,UGC,NRI,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Signup_Video_Deepthi_230226,120238795885080278,Deepthi,7229,0,0,0,0,,Testimonial,Video,Influencer,Deepthi,UGC,Influencer,Confidence | Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Signup_Video_Shweta_Negi_230226,120238795885180278,Shweta Negi,23676,0,0,0,0,,Testimonial,Video,Influencer,Shweta Negi,UGC,Influencer,Personalization,Personalized Learning,English
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Anudeep_230226,120238795885130278,Anudeep,10382,0,0,0,0,,Testimonial,Video,Influencer,Anudeep,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Keerthi_230226,120238795885100278,Keerthi,9512,0,0,0,0,,Testimonial,Video,Parent,Keerthi,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Priyanshul-IG_250226,120238908410700278,Priyanshul,29814,1,1,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Grades & School,Social Proof,English
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul-2_060126,120236939878170278,Priyanshul,3,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence | Grades & School,Social Proof,English
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul-2_060126,120236941193780278,Priyanshul,9765,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence | Grades & School,Social Proof,English
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,120236939878090278,Priyanshul,128,17,17,16,4,32.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Confidence | Grades & School | Thinking vs Calculating,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,120236941193920278,Priyanshul,432664,17,17,16,4,108166.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Confidence | Grades & School | Thinking vs Calculating,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Ana_150126,120237249880650278,Ana,12241,1,1,1,0,,Testimonial,Video,Influencer,Ana,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Anudeep_180226,120238536489540278,Anudeep,153756,11,10,10,3,51252.0,Testimonial,Video,Influencer,Anudeep,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Deepthi_180226,120238536489550278,Deepthi,82866,4,4,4,0,,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,Influencer (BAU),Personalization,Personalized Learning,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Heena_200126,120237395527260278,Heena,19102,1,1,1,1,19103.0,Testimonial,Video,Influencer,Heena,UGC,Influencer (BAU),Confidence | Grades & School | Foundation Building,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_050326,120239245736850278,Keerthi,25039,4,4,4,1,25039.0,Testimonial,Video,Influencer,Keerthi,UGC,Influencer,Confidence | Grades & School | Foundation Building,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_230126,120237504681690278,Keerthi,253214,26,26,24,10,25321.0,Talking Head,Video,Influencer,Keerthi,UGC,Influencer,Confidence | Grades & School | Thinking vs Calculating,Student Outcomes | Personalized Learning,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_310326,120240616788920278,Keerthi,21461,0,0,0,0,,Testimonial,Video,Influencer,Keerthi,UGC,Influencer,Personalization,Student Outcomes,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul-IG-video_280126,120237638751310278,Priyanshul,236527,21,21,19,9,26281.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul_YT_110326,120239518881710278,Priyanshul,26325,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence | Grades & School | Foundation Building,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,120238536374710278,Shweta Negi,392208,27,26,26,9,43579.0,Testimonial,Video,Influencer,Shweta Negi,UGC,Influencer (BAU),Confidence | Grades & School | Foundation Building,Social Proof | Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm-LP_NA_Video_Priyanshul-2_050126,120236921240630278,Priyanshul,4540,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm-LP_NA_Video_Priyanshul_050126,120236921240370278,Priyanshul,33374,0,0,0,0,,Testimonial,Video,Parent,Priyanshul,UGC,Influencer,Confidence | Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Ana_150126,120237250837070278,Ana,14158,0,0,0,0,,Testimonial,Video,Parent,Ana,UGC,Influencer,Parent Peace of Mind,Parent Peace of Mind,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Anudeep_180226,120238536401760278,Anudeep,126485,6,6,5,3,42162.0,Testimonial,Video,Parent,Anudeep,UGC,Influencer,Parent Peace of Mind,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Deepthi_180226,120238536443810278,Deepthi,94950,9,9,8,1,94950.0,Testimonial,Video,Parent,Deepthi,UGC,Influencer,Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Heena_200126,120237395477350278,Heena,49238,6,6,6,0,,Testimonial,Video,Parent,Heena,UGC,Influencer,Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Jia_300126,120237727870180278,Jia,104243,14,14,13,0,,Testimonial,Video,Parent,Jia,UGC,Influencer,Parent Peace of Mind,Parent Peace of Mind,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Keerthi_230126,120237504591000278,Keerthi,147258,21,21,19,11,13387.0,Testimonial,Video,Parent,Keerthi,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Keerthi_230126,120238536027580278,Keerthi,114487,21,21,19,11,10408.0,Testimonial,Video,Parent,Keerthi,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-2_090126,120237060899950278,Priyanshul,25184,0,0,0,0,,Testimonial,Video,Parent,,UGC,Influencer,Parent Peace of Mind,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-IG-video_280126,120237638631420278,Priyanshul,22306,0,0,0,0,,Testimonial,Video,Parent,,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-IG_180226,120238536027590278,Priyanshul,33467,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_090126,120237059932490278,Priyanshul,586,1,1,1,0,,Testimonial,Video,Parent,Priyanshul,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_090126,120237066913030278,Priyanshul,157016,1,1,1,0,,Testimonial,Video,Parent,Priyanshul,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_YT_110326,120239519269740278,Priyanshul,28421,1,1,1,1,28421.0,Testimonial,Video,Parent,Priyanshul,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,120238235075980278,Shweta Negi,281217,29,28,27,14,20087.0,Testimonial,Video,Influencer,Shweta Negi,UGC,Influencer,Grades & School,Social Proof,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,120238536223450278,Shweta Negi,67961,29,28,27,14,4854.0,Testimonial,Video,Influencer,Shweta Negi,UGC,Influencer,Grades & School,Social Proof,English
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_310326,120240616829900278,Shweta Negi,211467,17,16,15,5,42294.0,Testimonial,Video,Parent,Shweta Negi,UGC,Influencer,Confidence | Grades & School | Parent Peace of Mind,Student Outcomes | Parent Peace of Mind,English
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Heena_030226,120241669311770529,Heena,15708,0,0,0,0,,Testimonial,Video,Parent,Heena,UGC,Influencer,Parent Peace of Mind,Student Outcomes,English
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,120241669285770529,Keerthi,163831,8,6,7,2,81916.0,Testimonial,Video,Influencer,Keerthi,UGC,Influencer,Confidence | Grades & School | Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,120241669106280529,Priyanshul,133921,6,6,6,2,66961.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Influencers_Nidhi_150426,120241792176400278,Nidhi,1314,0,0,0,0,,,,,,,,,,
