ad_name,ad_id,canonical,notion_id,notion_slug,match_score,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static-Loved-by-UAE-Families-14-Nov-2025,120237258323140529,loved-by-uae-families-14-nov-2025,,,0.0,115750,17,7,10,6,19292.0,,,,,,,,,
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Spring-Build-Strong-Foundation-060426,120241018634470278,spring-build-strong-foundation,32f8897caec7809fb096d641ec1e4d6f,ai video asian strong foundation,0.5,114135,11,9,3,3,38045.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Foundation Building,Building Foundations,English
ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-2026-Ready_241225,120239949335850529,w-naplan-2026-ready,2d58897caec78004bf5cc99416250587,naplan urgency creatives anz jan 2026,0.67,111999,11,7,7,5,22400.0,Graphic Explainer,Static,,,Static Graphic,PLA,Grades & School,Student Outcomes,English
Easter_Hop_Into_Math_Confidence_240326,120240146764780278,easter_hop_into_math_confidence,,,0.0,105084,14,5,11,2,52542.0,Talking Head,Static,Tutor,,Studio,NRI (PLA),Confidence,Personalized Learning,English
USA_FB_Leads_Conv_PayU_New_Audience_35-55_Statics_High_School_New_Concepts_LeadGen_NA_Static-High-School-Algebra-to-AP-Calculus-170426,120241590515430278,high-school-algebra-to-ap-calculus,,,0.0,104100,22,8,8,2,52050.0,,,,,,,,,
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Top-Indian-tutors-NRI-Ad1-010226,120242213711900529,top-indian-tutors-nri-ad1,,,0.0,102159,13,7,12,2,51080.0,Static Graphic,Static,,,Static Graphic,NRI,Tutor Quality | Foundation Building,Expert Tutors,English
ANZ_FB_Leads_Conv_Expats-India_Australia_Static_W-NAPLAN-2027-Testimonial_150426,120245018310690529,anz_fb_leads_conv_expats-india_australia_static_w-naplan-202,,,0.0,93818,12,12,10,5,18764.0,,,,,,,,,
ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Static_NAPLAN-Chinese-V2_230126,120241189626670529,naplan-chinese-v2,,,0.0,93000,12,1,4,3,31000.0,Graphic Explainer,Static,,,Static Graphic,"ANZ_PFX_FB_Leads_Conv_Combined_LeadGen_0 (BAU, unclassified)",Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Vernac-Tamil-Static_Australia_Static_Ad3-Tamil-Text_110226,120241919019080529,anz_fb_leads_conv_vernac-tamil-static_australia_static_ad3-t,,,0.0,89700,19,0,8,2,44850.0,Graphic Explainer,Static,,,Static Graphic,Vernacular (BAU),Grades & School,Student Outcomes,Tamil
ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_Australia_Form_Static_Classroom-Math_280126,120241397968020529,anz-nz_fb_leads_conv_parents-pri+sec_australia_form_static_c,,,0.0,88298,18,1,5,2,44149.0,Graphic Explainer,Static,,,Static Graphic,"ANZ-NZ_FB_Leads_Conv_Parents_LeadGen_280 (BAU, unclassified)",Foundation Building,Building Foundations,English
ANZ_FB_Leads_Conv_LAL-0to2-QL_Australia_Static_Testimonial-Dharmender_200426,120245272488230529,anz_fb_leads_conv_lal-0to2-ql_australia_static_testimonial-d,,,0.0,86628,7,6,7,3,28876.0,,,,,,,,,
ANZ_FB_Leads_Conv_All-Expats_Australia_Static_W-Child-Falling-Behind_070126,120240532604830529,anz_fb_leads_conv_all-expats_australia_static_w-child-fallin,,,0.0,82967,9,4,6,3,27656.0,Graphic Explainer,Static,Child,,Static Graphic,"ANZ_PFX_FB_Leads_Conv_Combined_LeadGen_0 (BAU, unclassified)",Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_LeadGen_3MF_Static_B-Math-Learning-New_020126,120236831598870278,usa_fb_leads_conv_lal_payu_indianaudience_nri_35-55_leadgen_,,,0.0,81990,13,12,8,4,20498.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Grades & School,Building Foundations,English
ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-Boost-Math_291225,120240150994420529,w-naplan-boost-math,,,0.0,77784,13,10,9,7,11112.0,Graphic Explainer,Static,,,Static Graphic,PLA,Grades & School,NAPLAN Preparation,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-Is-your-child-preparing-051225,120235581754090278,is-your-child-preparing,,,0.0,76158,4,4,4,3,25386.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Competition Prep,Math Competition,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul-2_031125,120233910371660278,usa_pfx_fb_leads_conv_lal_0-2%_engaged_priyanshul-2,,,0.0,73050,5,5,2,2,36525.0,Product Demo,Static,Influencer,Priyanshul,Static Graphic,Influencer (BAU),Personalization,Personalized Learning,English
USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_Static_Balamaina_Math_Foundation_150126,120237661376860278,usa_akt_fb_leads_conv_int_expats-telugu_35-55_leadgen_telugu,,,0.0,66463,7,7,3,2,33232.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Foundation Building,Building Foundations,Telugu
ANZ_FB_Leads_Conv_Bollywood_Australia_Static_Y-Testimonial-Vishal_150326,120243348887950529,anz_fb_leads_conv_bollywood_australia_static_y-testimonial-v,,,0.0,66059,7,5,4,3,22020.0,Testimonial,Static,Parent,Vishal,Static Graphic,Interest (BAU),Grades & School,Social Proof,English
ANZ_FB_Leads_Conv_Locations_Australia_Static_W-NAPLAN-Boost-Math_060226,120241723959490529,anz_fb_leads_conv_locations_australia_static_w-naplan-boost-,,,0.0,63269,7,0,2,2,31635.0,Graphic Explainer,Static,,,Static Graphic,Geo (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_Y-Testimonial-Vishal_090326,120243024249900529,anz_fb_leads_conv_lal-ql-0to2%_australia_static_y-testimonia,,,0.0,59886,5,4,4,3,19962.0,Testimonial,Static,Child,Vishal,UGC,Lookalike (BAU),Grades & School,Social Proof,English
Static_Chinese_Ace_math_competition_030426,120240795003330278,static_chinese_ace_math_competition,,,0.0,55559,15,0,9,2,27780.0,Testimonial,Static,Child,,Static Graphic,NRI (PLA),Competition Prep,Math Competition,English
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_NA_Static-Strong-Math-Foundations-V2-100226,120241881033590529,strong-math-foundations-v2,,,0.0,55509,5,0,5,3,18503.0,Graphic Explainer,Static,,,Static Graphic,Geo (BAU),Foundation Building,Building Foundations,English
Static_Y-Ch-Family_230226,120238786756290278,static_y-ch-family,,,0.0,49852,4,2,4,2,24926.0,Graphic Explainer,Static,,,Static Graphic,Chinese (PLA),Grades & School,Student Outcomes,English
Mea_PFX_FB_Leads-Conv_NA_Int-Female_LeadGen_NA_Static-Christmas-Ho-Ho-Ho-051225,120238621825290529,christmas-ho-ho-ho,,,0.0,48843,6,0,4,2,24422.0,Static Graphic,Static,,,Static Graphic,PLA,Parent Peace of Mind,Promotional Offer,English
ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-NAPLAN-Boost-Math_290126,120241417942990529,anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-nap,,,0.0,45782,8,0,4,3,15261.0,Graphic Explainer,Static,,,Static Graphic,"ANZ_FB_Leads_Conv_All-Parents_LeadGen_29 (BAU, unclassified)",Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Int-Parenting_Australia_Static_NAPLAN-Chinese_050126,120240427481590529,anz_fb_leads_conv_int-parenting_australia_static_naplan-chin,,,0.0,41648,5,5,2,2,20824.0,Graphic Explainer,Static,,,Static Graphic,Interest (BAU),Grades & School,Student Outcomes,English
ANZ-SG_FB_Leads_Conv_int4C_Singapore_Static_Strong-Maths-Foundations_110226,120241936056160529,anz-sg_fb_leads_conv_int4c_singapore_static_strong-maths-fou,,,0.0,32226,2,0,2,2,16113.0,Graphic Explainer,Static,,,Static Graphic,Interest (BAU),Foundation Building,Building Foundations,English
MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_Signup_LP_NA_Video_Brand-Mission-27s_080226,120242358817200529,na_video_brand-mission-27s,,,0.0,29520,5,0,5,2,14760.0,Graphic Explainer,Static,,,Static Graphic,General,Foundation Building,Building Foundations,English
USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-strong-math-foundations-200126,120237428922170278,strong-math-foundations,,,0.0,24325,3,3,2,2,12163.0,Graphic Explainer,Static,Child,,Static Graphic,Lookalike (BAU),Foundation Building,Building Foundations,English
USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Static_Accelerate_Toward_AP_Calculus_BC_180326,120239871010410278,static_accelerate_toward_ap_calculus_bc,,,0.0,22015,3,0,3,3,7339.0,Graphic Explainer,Static,,,Static Graphic,General,Competition Prep,Math Competition,English
ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-Testimonial-NAPLAN_290126,120241417942980529,anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-tes,,,0.0,19070,3,0,2,2,9535.0,Testimonial,Static,Parent,,Static Graphic,"ANZ_FB_Leads_Conv_All-Parents_LeadGen_29 (BAU, unclassified)",Grades & School,Student Outcomes,English
