ad_name,ad_id,canonical,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial-Gunjan-Video-V2_030326,120242769054810529,anz-uk_fb_leads_conv_payu_uk_video_testimonial-gunjan-video-,67775,7,5,5,3,22592.0,Testimonial,Video,Parent,Gunjan,UGC,Lookalike (BAU),Confidence | Grades & School,Promotional Offer,English
ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Robin-Wife_110226,120241902270360529,anz_fb_leads_conv_lal-payu_australia_video_testimonial-robin,67718,9,6,6,3,22573.0,Testimonial,Video,Parent,Robin,UGC,Lookalike (BAU),Parent Peace of Mind,Student Outcomes,English
ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Video_NAPLAN-Testimonial-Vishal_020326,120242712645860529,anz_fb_leads_conv_parents-all-pri+sec_australia_video_naplan,67077,6,4,5,3,22359.0,Testimonial,Video,Parent,Vishal,UGC,"ANZ_FB_Leads_Conv_All-Parents_LeadGen_29 (BAU, unclassified)",Grades & School,Student Outcomes,English
ANZ-SG_FB_Leads_Conv_int4C_Singapore_Video_Tamil-Parent-Shoot-in-English_050226,120241670853840529,anz-sg_fb_leads_conv_int4c_singapore_video_tamil-parent-shoo,66919,6,0,4,3,22306.0,Testimonial,Video,Parent,,Studio,Interest (BAU),Grades & School,Student Outcomes,Tamil
USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_Static_Balamaina_Math_Foundation_150126,120237661376860278,usa_akt_fb_leads_conv_int_expats-telugu_35-55_leadgen_telugu,66463,7,7,3,2,33232.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Foundation Building,Building Foundations,Telugu
USA_FB_Leads_Conv_LAL_PayU_New_Audience_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Shalini_Dropati_180226,120238561726170278,english_testimonial_shalini_dropati,66334,6,6,3,3,22112.0,Testimonial,Video,Influencer,Shalini,UGC,Lookalike (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Bollywood_Australia_Static_Y-Testimonial-Vishal_150326,120243348887950529,anz_fb_leads_conv_bollywood_australia_static_y-testimonial-v,66059,7,5,4,3,22020.0,Testimonial,Static,Parent,Vishal,Static Graphic,Interest (BAU),Grades & School,Social Proof,English
MEA_AKT_FB_Leads_Conv_Cities_Int_Premium_Brands-New-Creatives-35-55_LeadGen_NA_Video-Australia-English-Testimonial-05-Nov-2025,120236638522840529,australia-english-testimonial-05-nov-2025,63802,8,4,4,2,31901.0,Testimonial,Video,Parent,,UGC,PLA,Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Influencer-Sahar_090426,120244693522100529,anz_fb_leads_conv_int-parents_australia_video_influencer-sah,63286,6,4,6,3,21096.0,,,,,,,,,
ANZ_FB_Leads_Conv_Locations_Australia_Static_W-NAPLAN-Boost-Math_060226,120241723959490529,anz_fb_leads_conv_locations_australia_static_w-naplan-boost-,63269,7,0,2,2,31635.0,Graphic Explainer,Static,,,Static Graphic,Geo (BAU),Grades & School,Student Outcomes,English
