ad_name,section,label,spend,TD,match_slug,notion_id,match_score
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Master-Math-this-Winter-Yellow-060226,NRI Contextual,Master Math Winter,97552,0,,,0.09
USA_FB_Leads_Conv_LAL_Enrolled_Signup_LP_Holi_Creatives_NA_Static_Color_Their_Future_200226,NRI Contextual,Color Their Future Holi,202150,6,,,0.0
USA_FB_Leads_Conv_PayU_Lookalike_Signup_LP_Holi_Creatives_NA_Static_Color_Their_Future_200226,NRI Contextual,Color Their Future Holi,45144,0,,,0.0
USA_FB_Leads_Conv_Advantage_Audience_High_NRI_Creatives_Scaling_Signup_Old-LP_NA_Static-Top-Indian-tutors-060226,NRI Contextual,Top Indian Tutors,346569,7,,,0.0
USA_FB_Leads_Conv_Advantage_Audience_High_NRI_Creatives_Scaling_Signup_Old-LP_NA_Static-Top-Indian-tutors-090426,NRI Contextual,Top Indian Tutors,293071,5,,,0.0
CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Static-Master-Math-India-Top-Tutors-300126,NRI Contextual,Master Math India Top Tutors,149378,0,,,0.12
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Master-Math-India-Top-Tutors-180226,NRI Contextual,Master Math India Top Tutors,103298,0,,,0.12
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-30-Day-Math-Kangaroo-Prep-261225,Competitive Prep,Math Kangaroo 30-Day-Prep,1121428,39,ai video math kangaroo,3148897caec7805985add806bbf40eb4,0.18
Math_Kangaroo_Static_30-Day-Prep_040126,Competitive Prep,Math Kangaroo 30-Day-Prep,373535,3,republic day creatives,2de8897caec780acab62e8241aa90e55,0.25
ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-Boost-Math_291225,Competitive Prep,NAPLAN Boost Math,77784,7,naplan creatives,2ea8897caec7807797ebe06d6dd1559a,0.2
ANZ_FB_Leads_Conv_Locations_Australia_Static_W-NAPLAN-Boost-Math_060226,Competitive Prep,NAPLAN Boost Math,63269,2,naplan creatives,2ea8897caec7807797ebe06d6dd1559a,0.25
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-NAPLAN-2026-Ready_030226,Competitive Prep,NAPLAN 2026 Ready,227400,7,naplan urgency creatives anz jan 2026,2d58897caec78004bf5cc99416250587,0.2
ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-2026-Ready_241225,Competitive Prep,NAPLAN 2026 Ready,111999,5,naplan urgency creatives anz jan 2026,2d58897caec78004bf5cc99416250587,0.25
Ind_FB_Premium+Parents+Income_Slotbook_Static_O-Ace-Math-Olympiad_230326,Competitive Prep,Olympiad Static India,154021,0,,,0.12
Video_Hero4_Cut_Asian_Version_280326,MathFit,Hero4 Cut Asian,69113,0,,,0.0
Video_Hero4_Cut_Asian_Version_030426,MathFit,Hero4 Cut Asian,33937,1,,,0.0
ANZ_FB_Leads_Conv_int4C_Australia_Video_Pizza_020326,MathFit,Pizza/Kitchen MathFit,27803,0,,,0.0
USA_FB_Leads_Conv_Indian_Interests_Mobile_Networks_TV_Channel_34-55_NRI_Signup_Old-LP-Cricket_Worldcup_Creatives_NA_Video_Pizza_discount_180226,MathFit,Pizza/Kitchen MathFit,25368,0,,,0.0
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,Influencer,Priyanshul IG,556831,14,,,0.0
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_131025,Influencer,Priyanshul IG,387349,5,,,0.0
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,Influencer,Shweta Negi,392208,9,,,0.0
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,Influencer,Shweta Negi,281217,14,,,0.0
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_230126,Influencer,Keerthi Telugu,253214,10,,,0.0
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,Influencer,Keerthi Telugu,163831,2,,,0.0
